sentence	concept_start	concept_end	verb_start	property_start	property_end
"['[CLS]', 'airplanes', 'have', 'sirens', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'ambulance', '##s', 'have', 'wings', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'cars', 'are', 'absorb', '##ent', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'dia', '##pers', 'have', 'four', 'wheels', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'fire', 'trucks', 'are', 'sharp', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'needles', 'have', 'hose', '##s', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'rain', '##coat', '##s', 'have', 'wheels', '[SEP]']"	1	3	4	5	5
"['[CLS]', 'roller', 'skate', '##s', 'are', 'water', '##proof', '[SEP]']"	1	3	4	5	6
"['[CLS]', 'sand', '##paper', 'cuts', '[SEP]']"	1	2	3	3	3
"['[CLS]', 'scissors', 'are', 'rough', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'airplanes', 'have', 'wings', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'ambulance', '##s', 'have', 'sirens', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'cars', 'have', 'four', 'wheels', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'dia', '##pers', 'are', 'absorb', '##ent', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'fire', 'trucks', 'have', 'hose', '##s', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'needles', 'are', 'sharp', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'rain', '##coat', '##s', 'are', 'water', '##proof', '[SEP]']"	1	3	4	5	6
"['[CLS]', 'roller', 'skate', '##s', 'have', 'wheels', '[SEP]']"	1	3	4	5	5
"['[CLS]', 'sand', '##paper', 'is', 'rough', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'scissors', 'cut', '[SEP]']"	1	1	2	2	2
"['[CLS]', 'span', '##de', '##x', 'is', 'stretch', '##y', '[SEP]']"	1	3	4	5	6
"['[CLS]', 'submarines', 'are', 'air', '##tight', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'tables', 'are', 'flat', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'trains', 'travel', 'on', 'tracks', '[SEP]']"	1	1	2	4	4
