sentence	concept_start	concept_end	verb_start	property_start	property_end
"['[CLS]', 'airplanes', 'have', 'wings', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'ambulance', '##s', 'have', 'sirens', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'needles', 'are', 'sharp', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'tables', 'are', 'flat', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'dia', '##pers', 'are', 'absorb', '##ent', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'birds', 'have', 'wings', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'lemon', '##s', 'are', 'sour', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'leopard', '##s', 'have', 'spots', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'dogs', 'have', 'tails', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'feathers', 'are', 'light', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'scissors', 'cut', '[SEP]']"	1	1	2	2	2
"['[CLS]', 'horses', 'have', 'four', 'legs', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'sheep', 'produce', 'milk', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'lions', 'have', 'mane', '##s', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'deer', 'have', 'ant', '##lers', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'ducks', 'lay', 'eggs', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'elk', 'have', 'ant', '##lers', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'cows', 'have', 'ud', '##ders', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'moose', 'have', 'ant', '##lers', '[SEP]']"	1	1	2	3	4
"['[CLS]', 'goats', 'have', 'horns', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'snakes', 'lay', 'eggs', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'kangaroo', '##s', 'have', 'pouch', '##es', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'pigs', 'suck', '##le', 'their', 'young', '[SEP]']"	1	1	2	4	5
"['[CLS]', 'peacock', '##s', 'have', 'beautiful', 'tails', '[SEP]']"	1	2	3	4	5
"['[CLS]', 'trumpets', 'are', 'loud', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'cars', 'have', 'radios', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'dolls', 'wear', 'dresses', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'dia', '##pers', 'are', 'white', '[SEP]']"	1	2	3	4	4
"['[CLS]', 'cats', 'like', 'milk', '[SEP]']"	1	1	2	3	3
"['[CLS]', 'dogs', 'bark', 'at', 'strangers', '[SEP]']"	1	1	2	4	4
